size,Time (ms),Ratio
16,440420,1.6777011700765827
16,335334,1.8613839729568502
16,57475675,1.753839676859468
16,17201737,0.9752388194477449
16,21322105,1.719672131147541
16,81277977,1.728535456096174
16,3144330578,1.7285745955035898
16,1954319011,1.026666074957384
32,428429,1.6777011700765827
32,327325,1.8613839729568502
32,56925623,1.753839676859468
32,16331731,0.9752388194477449
32,21772076,1.719672131147541
32,81267754,1.728535456096174
32,3310933193,1.7285745955035898
32,1980519890,1.026666074957384
64,434428,1.6777011700765827
64,346331,1.8613839729568502
64,57315651,1.753839676859468
64,17401681,0.9752388194477449
64,21682094,1.719672131147541
64,79007790,1.728535456096174
64,3231731340,1.7285745955035898
64,1972020919,1.026666074957384
128,466436,1.6777011700765827
128,346352,1.8613839729568502
128,58145623,1.753839676859468
128,16671641,0.9752388194477449
128,21552129,1.719672131147541
128,80197830,1.728535456096174
128,3285631470,1.7285745955035898
128,2062019753,1.026666074957384
256,435461,1.6777011700765827
256,368351,1.8613839729568502
256,62875678,1.753839676859468
256,17341705,0.9752388194477449
256,21552094,1.719672131147541
256,80207830,1.728535456096174
256,3203431183,1.7285745955035898
256,2012419992,1.026666074957384
512,455421,1.6777011700765827
512,349351,1.8613839729568502
512,59015831,1.753839676859468
512,20201732,0.9752388194477449
512,27062239,1.719672131147541
512,79827711,1.728535456096174
512,3179231577,1.7285745955035898
512,1975419656,1.026666074957384
1024,446434,1.6777011700765827
1024,341342,1.8613839729568502
1024,58465712,1.753839676859468
1024,16541655,0.9752388194477449
1024,21672147,1.719672131147541
1024,81337876,1.728535456096174
1024,3200131094,1.7285745955035898
1024,1974819691,1.026666074957384
2048,427425,1.6777011700765827
2048,344340,1.8613839729568502
2048,57905642,1.753839676859468
2048,16221615,0.9752388194477449
2048,21142064,1.719672131147541
2048,79947818,1.728535456096174
2048,3213630837,1.7285745955035898
2048,2081719524,1.026666074957384
